date,text,likes,retweets,link
2020-04-27,"- Alvorada com o @MinEconomia Paulo Guedes, a @Mapa_Brasil @TerezaCrisMS e o @MInfraestrutura @tarcisiogdf :10h00 (27/04/2020). https://t.co/bvget8mN7E",24526,4421,https://twitter.com/jairbolsonaro/status/1254771035179634698
2020-04-27,@profcabarros Recordação muito bacana. Um forte abraço! 🇧🇷👍,10144,739,https://twitter.com/jairbolsonaro/status/1254743006143545345
2020-04-27,"10. Pagamento do auxílio @Caixa para 43 milhões de brasileiros;
11. Empenho de R$ 140 bilhões no combate ao covid-19 e auxílio aos estados e municípios; @minsaude
12. R$ 51 bilhões em investimentos do @TesouroNacional no combate ao coronavirus; @secomvc",15875,2623,https://twitter.com/jairbolsonaro/status/1254735625984630790
2020-04-27,"8. Lançamento de medidas, como cestas básicas, para atender a população indígena e povos tradicionais, devido à impossibilidade de suas atividades econômicas; @DHumanosBrasil
9. R$1,169 trilhão para planejamento de saúde, auxílio e manutenção de empregos neste momento de crise;",16120,2557,https://twitter.com/jairbolsonaro/status/1254735331590537218
2020-04-27,".6 Ampliação do horário de atendimento em mais de 5 mil agências da @Caixa;
7. Publicação do Plano Emergencial de contingenciamento para a covid-19 da Operação Acolhida; @DefesaGovBr",7310,1390,https://twitter.com/jairbolsonaro/status/1254735117425299457
2020-04-27,"3. Financiamento do @bndes para implantação de leitos hospitalares no SUS;
4. Mais 141 produtos para combater a pandemia têm redução no Imposto de Importação; @MinEconomia
5. Convênio garante R$ 7,5 bilhões em crédito facilitado para micro e pequenas empresas;",7997,1603,https://twitter.com/jairbolsonaro/status/1254734987166912515
2020-04-27,"- Resumo de exposições do trabalho do @govbr na semana:
 1. Aporte de R$ 5 bilhões para minimizar as perdas gigantescas do setor de turismo; @MTurismo
2. Destinação de mais de R$ 2,5 bilhões para fortalecer a assistência social; @MinCidadania",38645,7194,https://twitter.com/jairbolsonaro/status/1254734762465546241
2020-04-26,"Lamentavelmente o ex-ministro mentiu sobre interferência na PF. Nenhum superintendente foi trocado por mim. Todos foram indicados pelo próprio ministro ou diretor geral. Para mim os bons Policiais estão em todo o Brasil e não apenas em Curitiba, onde trabalhava o então juiz. https://t.co/TdECvlTQBc",77743,17093,https://twitter.com/jairbolsonaro/status/1254422610458312704
2020-04-26,- Luciano da Havan ( @luciano_hang ) e sua participação nas últimas eleições. https://t.co/fAou6nBenr,37415,5928,https://twitter.com/jairbolsonaro/status/1254376373856198656
2020-04-25,"5- O trabalho do @govbr continua:
@DNIToficial @MinLuizRamos @aviacaodobrasil @portosdobrasil @tvbrasilgov @Marceloscf2 @jorgeseif @ArthurWeint @filgmartin @paulouebel @brunobiancoleal @ppinvestimentos @CmdoCMS @CmdoCML  ....... https://t.co/MKIi9yxM8s",16109,2466,https://twitter.com/jairbolsonaro/status/1254127177353830401
2020-04-25,"4- O trabalho do @govbr continua:
@MEC_Comunicacao @AbrahamWeint @Mapa_Brasil @TerezaCrisMS @Minas_Energia @mmeioambiente @rsallesmma @MTurismo @Marceloalvaroan @mctic @Astro_Pontes @tvbrasilgov @secomvc https://t.co/M3iWTSxbV8",17022,2596,https://twitter.com/jairbolsonaro/status/1254125006814142467
2020-04-25,"3- O trabalho do @govbr continua:
@MinEconomia @DefesaGovBr @exercitooficial @marmilbr @fab_oficial @casacivilbr https://t.co/JrCesHR92h",7836,1474,https://twitter.com/jairbolsonaro/status/1254123829451988992
2020-04-25,2- O trabalho do @govbr continua: @ItamaratyGovBr @ernestofaraujo @MinCidadania @onyxlorenzoni https://t.co/lnzF2ar8u1,9268,1674,https://twitter.com/jairbolsonaro/status/1254123454045073409
